"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/chart/toprated",5415,87,260,490,4700,9100,20000,38000,68000,94043
"GET /api/correlated/births",1353,1500,5200,8200,11000,21000,39000,68000,73000,150558
"GET /api/correlated/births/true",544,1500,5100,7500,9400,21000,40000,71000,75000,82526
"GET /api/correlated/deaths",1373,1300,3400,6600,8200,17000,34000,69000,71000,100996
"GET /api/correlated/deaths/true",541,1200,2300,6900,9000,21000,39000,70000,72000,99759
"GET /api/correlated/gold-prices",1373,1100,5700,8000,10000,20000,37000,68000,70000,93453
"GET /api/correlated/gold-prices/true",529,1100,5900,8600,11000,21000,36000,68000,71000,97269
"GET /api/correlated/job-density",1394,860,1500,4400,6400,13000,27000,66000,70000,125605
"GET /api/correlated/job-density/true",535,990,2700,6800,8700,20000,37000,67000,70000,103312
"GET /api/correlated/jobs",1369,1400,3600,7000,8800,18000,36000,69000,74000,109511
"GET /api/correlated/jobs/true",541,1200,3000,7400,9800,21000,40000,70000,76000,119511
"GET /api/home/data",5349,52,200,4000,5800,12000,24000,67000,69000,124794
"/api/login",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"GET /api/recentobservations",5464,190,270,470,860,7400,15000,37000,68000,150119
"GET /api/related/births",1408,190,290,390,430,600,730,900,1000,1348
"GET /api/related/deaths",1408,190,270,360,400,530,640,830,980,1348
"GET /api/related/gold-prices",1408,47,63,85,120,240,290,370,430,848
"GET /api/related/job-density",1408,180,270,360,400,530,640,780,880,1352
"GET /api/related/jobs",1409,160,240,320,380,490,580,710,760,1098
"GET /api/search/birth",2668,200,650,5100,7000,15000,35000,66000,69000,130037
"GET /api/search/death",2744,140,250,540,3600,8500,19000,38000,68000,127913
"GET /api/search/health",2760,130,190,420,1800,7500,19000,37000,68000,198042
"GET /api/search/newham",2762,130,180,380,720,7500,19000,39000,68000,118753
"GET /api/search/population",2763,130,210,510,3900,8600,19000,37000,69000,127421
"GET /api/search/westminster",2782,130,190,380,830,7700,19000,36000,67000,141473
"GET /api/user/activitystream",5750,920,1600,6100,8200,35000,128000,134000,148000,305654
"None Total",55050,280,680,1400,4600,11000,22000,67000,72000,305654